id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual
59263,Women,Accessories,Watches,Watches,Silver,Winter,2016,Casual
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011,Casual
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012,Casual
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual
30805,Men,Apparel,Topwear,Shirts,Green,Summer,2012,Ethnic
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,2012,Casual
29114,Men,Accessories,Socks,Socks,Navy Blue,Summer,2012,Casual
30039,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual
9204,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011,Casual
48123,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual
18653,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Casual
47957,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual
46885,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Fall,2012,Casual
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Formal
29928,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual
42419,Girls,Apparel,Topwear,Tops,White,Summer,2012,Casual
51832,Women,Apparel,Innerwear,Bra,Beige,Summer,2016,Casual
47359,Women,Accessories,Bags,Handbags,Brown,Summer,2012,Casual
17429,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual
12967,Men,Footwear,Sandal,Sandals,Black,Fall,2011,Casual
6842,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Summer,2011,Casual
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011,Sports
18461,Men,Personal Care,Fragrance,Deodorant,White,Spring,2017,Casual
9036,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2011,Formal
48311,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,2012,Casual
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Sports
56019,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017,Casual
21977,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012,Formal
4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,2012,Casual
39988,Men,Footwear,Shoes,Casual Shoes,White,Winter,2014,Casual
59051,Women,Footwear,Shoes,Flats,Black,Winter,2012,Casual
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,2011,Ethnic
58183,Women,Accessories,Bags,Handbags,White,Summer,2012,Casual
29742,Women,Accessories,Bags,Handbags,Teal,Summer,2012,Casual
51658,Women,Accessories,Watches,Watches,Copper,Winter,2016,Casual
3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual
18839,Men,Accessories,Belts,Belts,Black,Fall,2011,Formal
2886,Women,Footwear,Shoes,Flats,Brown,Winter,2015,Casual
23278,Men,Accessories,Watches,Watches,Off White,Winter,2016,Casual
28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012,Ethnic
8580,Men,Apparel,Topwear,Waistcoat,Grey,Fall,2011,Casual
3168,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports
18005,Men,Apparel,Bottomwear,Shorts,Black,Summer,2011,Sports
17871,Men,Apparel,Innerwear,Briefs,Maroon,Winter,2016,Casual
9452,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Formal
38402,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual
44984,Women,Accessories,Watches,Watches,White,Winter,2016,Casual
10268,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2012,Formal
45856,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012,Ethnic
32138,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016,Casual
59435,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012,Formal
5891,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual
38630,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012,Casual
4943,Men,Apparel,Topwear,Shirts,White,Summer,2011,Casual
11188,Men,Accessories,Watches,Watches,Silver,Winter,2016,Casual
10866,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual
59607,Women,Apparel,Saree,Sarees,Grey,Fall,2012,Ethnic
15528,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual
45258,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual
42841,Women,Accessories,Bags,Handbags,Beige,Summer,2012,Casual
22198,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012,Casual
29570,Men,Footwear,Shoes,Casual Shoes,Purple,Summer,2012,Casual
43993,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,2017,Casual
6628,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011,Sports
54924,Men,Apparel,Bottomwear,Shorts,Blue,Summer,2012,Casual
26538,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2012,Casual
35913,Women,Accessories,Bags,Handbags,Black,Summer,2012,Casual
49495,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,2012,Casual
9660,Men,Apparel,Topwear,Shirts,Pink,Fall,2011,Casual
2288,Women,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports
23876,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011,Casual
18237,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual
54118,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual
2872,Women,Footwear,Shoes,Heels,Brown,Winter,2015,Casual
